[6/19/22 01:37AM] Login from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[6/19/22 01:39AM] Logout with password test3Logout from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[6/19/22 01:40AM] Login from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[6/19/22 01:50AM] Logout with password test3Logout from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[6/19/22 01:58AM] Login from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[6/19/22 02:01AM] Logout with password test3Logout from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[6/28/22 04:42PM] Login from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[6/28/22 04:42PM] Logout with password test3Logout from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[6/28/22 04:46PM] Login from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[6/28/22 05:12PM] Logout with password test3Logout from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[6/28/22 05:41PM] Login from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[6/28/22 06:14PM] Logout with password test3Logout from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[6/28/22 08:01PM] Login from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[6/28/22 08:15PM] Logout with password test3Logout from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[6/28/22 10:20PM] Login from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[6/28/22 10:23PM] Logout with password test3Logout from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[6/28/22 10:33PM] Login from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[6/28/22 10:33PM] Logout with password test3Logout from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[6/28/22 10:52PM] Login from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[6/28/22 11:03PM] Logout with password test3Logout from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[6/29/22 02:00AM] Login from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[6/29/22 02:00AM] Logout with password test3Logout from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[6/29/22 02:11AM] Login from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[6/29/22 02:13AM] Logout with password test3Logout from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[6/29/22 08:16PM] Login from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
[6/29/22 08:17PM] Logout with password test3Logout from host 127.0.0.1, serial number: 94-DB-C9-48-4C-6A, mac address:C4N0AS27690015720220606172906.000000-300	
